time,value
2023-02-24T13:00:00Z,4.79E+14
2023-02-24T14:00:00Z,4.78E+14
2023-02-24T15:00:00Z,4.75E+14
2023-02-24T16:00:00Z,4.77E+14
2023-02-24T17:00:00Z,4.79E+14
2023-02-24T18:00:00Z,4.75E+14
2023-02-24T19:00:00Z,4.80E+14
2023-02-24T20:00:00Z,4.79E+14
2023-02-24T21:00:00Z,4.79E+14
2023-02-24T22:00:00Z,4.77E+14
2023-02-24T23:00:00Z,4.78E+14
2023-02-25T00:00:00Z,4.76E+14
2023-02-25T01:00:00Z,4.79E+14
2023-02-25T02:00:00Z,4.76E+14
2023-02-25T03:00:00Z,4.78E+14
2023-02-25T04:00:00Z,4.77E+14
2023-02-25T05:00:00Z,4.78E+14
2023-02-25T06:00:00Z,4.78E+14
2023-02-25T07:00:00Z,4.76E+14
2023-02-25T08:00:00Z,4.79E+14
2023-02-25T09:00:00Z,4.78E+14
2023-02-25T10:00:00Z,4.78E+14
2023-02-25T11:00:00Z,4.79E+14
2023-02-25T12:00:00Z,4.77E+14
2023-02-25T13:00:00Z,4.78E+14
2023-02-25T14:00:00Z,4.79E+14
2023-02-25T15:00:00Z,4.78E+14
2023-02-25T16:00:00Z,4.82E+14
2023-02-25T17:00:00Z,4.76E+14
2023-02-25T18:00:00Z,4.76E+14
2023-02-25T19:00:00Z,4.77E+14
2023-02-25T20:00:00Z,4.81E+14
2023-02-25T21:00:00Z,4.79E+14
2023-02-25T22:00:00Z,4.77E+14
2023-02-25T23:00:00Z,4.75E+14
2023-02-26T00:00:00Z,4.77E+14
2023-02-26T01:00:00Z,4.75E+14
2023-02-26T02:00:00Z,4.76E+14
2023-02-26T03:00:00Z,4.80E+14
2023-02-26T04:00:00Z,4.75E+14
2023-02-26T05:00:00Z,4.80E+14
2023-02-26T06:00:00Z,4.76E+14
2023-02-26T07:00:00Z,4.77E+14
2023-02-26T08:00:00Z,4.77E+14
2023-02-26T09:00:00Z,4.79E+14
2023-02-26T10:00:00Z,4.79E+14
2023-02-26T11:00:00Z,4.78E+14
2023-02-26T12:00:00Z,4.75E+14
2023-02-26T13:00:00Z,4.76E+14
2023-02-26T14:00:00Z,4.77E+14
2023-02-26T15:00:00Z,4.77E+14
2023-02-26T16:00:00Z,4.78E+14
2023-02-26T17:00:00Z,4.77E+14
2023-02-26T18:00:00Z,4.73E+14
2023-02-26T19:00:00Z,4.76E+14
2023-02-26T20:00:00Z,4.77E+14
2023-02-26T21:00:00Z,4.77E+14
2023-02-26T22:00:00Z,4.71E+14
2023-02-26T23:00:00Z,4.76E+14
2023-02-27T00:00:00Z,4.72E+14
2023-02-27T01:00:00Z,4.79E+14
2023-02-27T02:00:00Z,4.75E+14
2023-02-27T03:00:00Z,4.74E+14
2023-02-27T04:00:00Z,4.77E+14
2023-02-27T05:00:00Z,4.75E+14
2023-02-27T06:00:00Z,4.74E+14
2023-02-27T07:00:00Z,4.76E+14
2023-02-27T08:00:00Z,4.74E+14
2023-02-27T09:00:00Z,4.72E+14
2023-02-27T10:00:00Z,4.74E+14
2023-02-27T11:00:00Z,4.73E+14
2023-02-27T12:00:00Z,4.73E+14
2023-02-27T13:00:00Z,4.77E+14
2023-02-27T14:00:00Z,4.75E+14
2023-02-27T15:00:00Z,4.74E+14
2023-02-27T16:00:00Z,4.73E+14
2023-02-27T17:00:00Z,4.72E+14
2023-02-27T18:00:00Z,4.72E+14
2023-02-27T19:00:00Z,4.63E+14
2023-02-27T20:00:00Z,4.74E+14
2023-02-27T21:00:00Z,4.74E+14
2023-02-27T22:00:00Z,4.77E+14
2023-02-27T23:00:00Z,4.66E+14
2023-02-28T00:00:00Z,4.64E+14
2023-02-28T01:00:00Z,4.75E+14
2023-02-28T02:00:00Z,4.62E+14
2023-02-28T03:00:00Z,4.78E+14
2023-02-28T04:00:00Z,4.65E+14
2023-02-28T05:00:00Z,4.73E+14
2023-02-28T06:00:00Z,4.75E+14
2023-02-28T07:00:00Z,4.75E+14
2023-02-28T08:00:00Z,4.63E+14
2023-02-28T09:00:00Z,4.76E+14
2023-02-28T10:00:00Z,4.77E+14
2023-02-28T11:00:00Z,4.77E+14
2023-02-28T12:00:00Z,4.62E+14
2023-02-28T13:00:00Z,4.62E+14
2023-02-28T14:00:00Z,4.66E+14
2023-02-28T15:00:00Z,4.69E+14
2023-02-28T16:00:00Z,4.75E+14
2023-02-28T17:00:00Z,4.77E+14
2023-02-28T18:00:00Z,4.62E+14
2023-02-28T19:00:00Z,4.72E+14
2023-02-28T20:00:00Z,4.77E+14
2023-02-28T21:00:00Z,4.77E+14
2023-02-28T22:00:00Z,4.73E+14
2023-02-28T23:00:00Z,4.74E+14
2023-03-01T00:00:00Z,4.59E+14
2023-03-01T01:00:00Z,4.74E+14
2023-03-01T02:00:00Z,4.70E+14
2023-03-01T03:00:00Z,4.74E+14
2023-03-01T04:00:00Z,4.78E+14
2023-03-01T05:00:00Z,4.69E+14
2023-03-01T06:00:00Z,4.74E+14
2023-03-01T07:00:00Z,4.70E+14
2023-03-01T08:00:00Z,4.61E+14
2023-03-01T09:00:00Z,4.77E+14
2023-03-01T10:00:00Z,4.70E+14
2023-03-01T11:00:00Z,4.74E+14
2023-03-01T12:00:00Z,4.68E+14
2023-03-01T13:00:00Z,4.70E+14
2023-03-01T14:00:00Z,4.77E+14
2023-03-01T15:00:00Z,4.61E+14
2023-03-01T16:00:00Z,4.76E+14
2023-03-01T17:00:00Z,4.59E+14
2023-03-01T18:00:00Z,4.73E+14
2023-03-01T19:00:00Z,4.73E+14
2023-03-01T20:00:00Z,4.75E+14
2023-03-01T21:00:00Z,4.75E+14
2023-03-01T22:00:00Z,4.73E+14
2023-03-01T23:00:00Z,4.75E+14
2023-03-02T00:00:00Z,4.74E+14
2023-03-02T01:00:00Z,4.76E+14
2023-03-02T02:00:00Z,4.62E+14
2023-03-02T03:00:00Z,4.75E+14
2023-03-02T04:00:00Z,4.75E+14
2023-03-02T05:00:00Z,4.61E+14
2023-03-02T06:00:00Z,4.77E+14
2023-03-02T07:00:00Z,4.75E+14
2023-03-02T08:00:00Z,4.78E+14
2023-03-02T09:00:00Z,4.72E+14
2023-03-02T10:00:00Z,4.78E+14
2023-03-02T11:00:00Z,4.77E+14
2023-03-02T12:00:00Z,4.77E+14
2023-03-02T13:00:00Z,4.63E+14
2023-03-02T14:00:00Z,4.62E+14
2023-03-02T15:00:00Z,4.65E+14
2023-03-02T16:00:00Z,4.77E+14
2023-03-02T17:00:00Z,4.77E+14
2023-03-02T18:00:00Z,4.80E+14
2023-03-02T19:00:00Z,4.79E+14
2023-03-02T20:00:00Z,4.78E+14
2023-03-02T21:00:00Z,4.79E+14
2023-03-02T22:00:00Z,4.66E+14
2023-03-02T23:00:00Z,4.73E+14
2023-03-03T00:00:00Z,4.77E+14
2023-03-03T01:00:00Z,4.79E+14
2023-03-03T02:00:00Z,4.79E+14
2023-03-03T03:00:00Z,4.76E+14
2023-03-03T04:00:00Z,4.80E+14
2023-03-03T05:00:00Z,4.81E+14
2023-03-03T06:00:00Z,4.80E+14
2023-03-03T07:00:00Z,4.80E+14
2023-03-03T08:00:00Z,4.68E+14
2023-03-03T09:00:00Z,4.80E+14
2023-03-03T10:00:00Z,4.81E+14
2023-03-03T11:00:00Z,4.80E+14
2023-03-03T12:00:00Z,4.67E+14
